,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
skip-0_non-skip-1_dropout:False_reduction:False_R2_MSELoss,0.033771298679651,-1.22351160587049,0.034687881376229,0.1170257096197091,0.1780135292632907,0.2195306011274749,0.2859610225640091,0.3462021572917115,0.3416958264276093,-2.0054886504715563,0.1736634852839451,-1.439953504824171,-0.1196821355352214,0.3871788160473692,0.43561265632218,0.3021828567280489,0.3508749545789232,0.5077301474178538,0.4250209810687046,0.5777732157239727,0.4700775964587342,0.1577223854906418,0.5539785962478787,0.3677277565002441,0.5532318821140364,0.5761118145549998,0.5495507530137604,0.5134124381869447,0.5608023872562483,0.3937392246489431,0.5383699980436587,0.5597575692569509,0.4789095123608907,0.3259542409111471,0.538893485770506,0.433603961093753,0.3656620979309082,0.5409497197936562,0.2035520602675045,0.5574837104946959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip-0_non-skip-2_dropout:False_reduction:False_R2_MSELoss,-0.1581603650953255,-0.0062247140734803,-0.2246717869066724,0.1069656353370816,-0.0352644300928302,-0.2461154168727351,0.1821454611479067,0.2085892710031247,0.2531617272133921,-0.1108542692427541,0.3088681171922123,0.3407232001716015,0.1851855306064381,0.3932901293623681,0.2625454781102199,0.3286782257697161,0.0894987910401587,0.2043493588765462,0.4839351960256988,0.5119334985228146,0.47675402024213,0.5450589072470572,0.368538432261523,0.5300574477981118,0.4586688829403297,0.5603983858052421,0.3166398639772452,-0.1911271611849467,0.2707782118928198,0.5296844711490706,0.5592864845313278,0.4100542863210042,0.4810960351252088,0.5769952605752384,0.2465053434465445,0.1982314224336661,0.1370681290533028,0.2408551117953132,0.5002071039349425,0.4467966416302849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip-0_non-skip-3_dropout:False_reduction:False_R2_MSELoss,-0.1066284039441277,0.0564133536581899,0.0080908034362044,0.0806606026256785,-0.0404468891667384,0.1231403876753414,-0.0468412497464348,0.1257702030387579,0.0211574294987846,0.2226027951521032,0.1725608951905194,0.0885019395865646,-0.2573800823267768,0.1886547289642633,0.0977698891770606,0.2088621995028327,0.3612125141947877,0.4486176371574402,0.449444173597822,0.4556239539501713,0.4487929835039027,0.4787664027775035,0.3350516078518886,0.396696246137806,0.531410181054882,0.540511478396023,0.2446352103177239,0.5355543272168029,0.415489488956975,0.527571343908123,0.4782747275689069,0.2350721744930043,0.5084519771968617,0.0607643326123555,0.5266415336552788,0.2164764836722729,0.5180498408336266,0.53979973933276,0.3840926418117448,0.3893321238312067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip-0_non-skip-4_dropout:False_reduction:False_R2_MSELoss,0.0763535604757421,0.0680350556093103,0.142758474630468,0.0954129181656183,0.2597002281862147,-0.1699075628729427,0.4162797495430591,0.258079542833216,0.360792479094337,0.4085186193971073,0.4343971504884608,0.4590360779388278,0.4075908263524373,0.4663612714000776,0.5008911116450441,0.4567046305712531,0.3469361955044316,0.5176975364778557,0.4605024363480362,0.4427565792027642,0.4366883986136493,0.4670806118086272,0.349230010135501,0.4483492596476686,0.3637203293688157,0.3066478535240772,0.327927246981976,0.426646981753555,0.4058380699625202,0.2937163722281362,0.4894585679559147,0.4106549012894724,0.2523015363543641,0.1088905311098285,0.4147770136010413,0.3326168364169551,0.4004515386095233,0.4477332421377593,0.3165714460260728,0.5054579342112822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip-0_non-skip-1_dropout:False_reduction:True_R2_MSELoss,-5133.622132149397,-3693.121245148135,-4669.554163454794,-2685.405385921983,-3198.514930252936,-4280.486065939361,-2970.074724220762,-3411.431295768888,-1281.9569895314237,-2850.288170849576,-2866.207296032532,-2465.735916550253,-2046.2883615423648,-1517.5389496590576,-1469.7449968515657,-2044.9711372349773,-1652.118698826023,-914.9622185300378,-653.6392478498758,-697.8194483775718,-735.1040633846732,-1105.5885139446632,-651.160558374489,-514.5644751109329,-682.6244301234974,-698.7038000120837,-460.831588476312,-310.1139340026706,-236.96496850252151,-145.57929330479865,-136.80533642161126,-147.7586957800622,-69.3847782109298,-102.2330531162374,-71.04507737767463,-44.9689176328042,-35.18761749361076,-24.762004786846685,-12.939189294974009,-9.5906919521444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip-0_non-skip-2_dropout:False_reduction:True_R2_MSELoss,-640.0037427696527,-1127.0386064753814,-1027.3985270939622,-425.369816494923,-632.0431422357466,-488.2064733458501,-536.2118776452307,-524.754339669265,-694.6408853951623,-250.50660837397857,-507.1831705137795,-682.8205481533911,-393.560501471454,-380.7011412265254,-312.27833945844685,-248.10322068251816,-180.46909958825395,-274.5034547097543,-370.1161488142668,-202.53198916304345,-278.0800774050694,-225.4575854598307,-165.4200145952842,-100.48311316148909,-136.1173010094493,-127.5361102714258,-50.98197822126688,-85.72850771628174,-144.20779781949287,-64.86052039207196,-109.24677962882846,-48.072237215790096,-31.289005723654054,-42.47927288564981,-84.32243150589512,-27.275364756584167,-19.21042725852892,-36.68325217915516,-11.406442060190088,-14.601164281368256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip-0_non-skip-3_dropout:False_reduction:True_R2_MSELoss,-74.36458039634368,-190.0810199753911,-176.46923344041787,-62.39259541969673,-100.55241805899377,-46.26294275124868,-113.7105031854966,-48.52397463368435,-78.65150202255623,-37.43894409081515,-65.46470921530442,-145.32165143536585,-73.51006256365308,-34.73470715798584,-56.50736114674923,-52.29718427564583,-52.97020335174074,-44.09007428440393,-100.1797613337928,-50.70177554382997,-16.78999125840617,-36.18674508964314,-65.13319050681358,-44.928872726711575,-27.75481948899288,-22.65573956452164,-21.21659266481213,-38.02702917304693,-27.706530249586294,-49.54860820489771,-36.9518607212048,-28.452893046771777,-17.411740854674694,-24.769959313028,-10.782792654691958,-5.130868390494702,-37.21781379451939,-9.435708147637984,-13.1812766159282,-4.895641667001388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip-0_non-skip-4_dropout:False_reduction:True_R2_MSELoss,-20.990976007545697,-8.28289404336144,-13.17066809242847,-22.83145363073723,-6.829180392564512,-17.17723207730873,-20.085615936447592,-46.29962208458021,-20.286934057871505,-32.614283760388695,-26.273693088222952,-18.137076652517507,-23.060748114305383,-11.27433864509358,-15.673234393783645,-36.97769011118833,-32.67679854935291,-32.368251669640635,-40.52159914082172,-10.395837246202955,-38.79339850883858,-11.12943164507548,-14.806092056573606,-19.781134438280965,-8.09632463198082,-8.393916893239115,-21.292295512031107,-10.127694447835289,-4.871569942025578,-8.853026579408084,-11.781565815794702,-9.676581896987615,-12.596539373491323,-9.213418657873191,-8.650958642071368,-15.26649368978014,-10.202118341829262,-10.741405399406656,-9.972620384365904,-15.26924692883211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip-1_non-skip-1_dropout:False_reduction:False_R2_MSELoss,-0.2011788475747201,-0.342927755094042,-0.2310843117096845,-0.3262348782782461,-0.6233844909013486,-0.1248109060175278,-0.0222129564659268,-0.8665150287104588,-0.2442098435233621,-0.0994821658321455,-0.7231199203753004,0.1144629237698573,0.2032149737956477,0.0830301525546055,0.2628911792063245,0.0742487054245144,0.1969245952718398,0.3106691428259307,0.2576060189920313,0.2907633945053699,0.4503698372373394,0.0093518483872507,0.4739465806998458,0.4655198267861908,0.0138370160963021,0.5488204441818536,0.4433400560827816,0.2223223646481832,0.3333542054774714,0.318711007342619,0.325616134148018,0.5462391540115955,-2.9237104911430207,-0.0636047837780971,0.2121117103333566,0.5828048505035102,-0.3010968717874265,0.546342203430101,0.543603775548,0.5407091554473428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip-1_non-skip-2_dropout:False_reduction:False_R2_MSELoss,-0.4411351166519464,-0.2143401971050337,-0.2729543190376431,-0.2817225573109645,-0.3278564039398642,-0.1942880597769045,-0.0278509002105862,-0.5767490653430715,-0.0569441341886333,-0.0946338387096629,-0.1156809552043092,-0.0980230826957553,0.063764052063811,0.1990080335560967,-0.2491732496841281,0.2601195795863282,0.1884713991015565,0.316615318550783,0.3272581801694982,0.3929245740759606,-0.4919534512594634,0.4478374836491604,0.411437567542581,0.2583181963247411,0.47726283938277,0.4275933585914911,0.4063229701098274,0.5217013733059752,0.5387860700195911,0.5566045560088813,0.4716228421996621,0.5412156803935182,0.4001710485009586,0.5526915835399254,0.5212633621458914,0.4357443510317335,0.5343124434059742,0.5005973320381314,-0.4790155934352501,0.5100340153656754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
